participant,contrast,center_x,center_y,center_z,mean_intensity,std_intensity
SUJETO_0006562,MM,-36,18,4,0.113549998810872,0.378331405690804
SUJETO_0012643,MM,-36,18,4,-0.00446791621395434,0.261184070365922
SUJETO_0014011,MM,-36,18,4,1.09798285891913,0.362028166536306
SUJETO_0014895,MM,-36,18,4,-0.564026068896055,0.586651835506283
SUJETO_0016883,MM,-36,18,4,-1.13260722446321,0.510915694852678
SUJETO_0020285,MM,-36,18,4,1.03312116936602,0.485983945002804
SUJETO_0020703,MM,-36,18,4,-0.0865612799734479,0.269880462171429
SUJETO_0020974,MM,-36,18,4,2.62650652846905,0.740169803192336
SUJETO_0025948,MM,-36,18,4,1.32337452813682,0.545630790094545
SUJETO_0026622,MM,-36,18,4,-1.31044617295265,0.766120344875703
SUJETO_0027033,MM,-36,18,4,-0.559093500628616,0.652312242340144
SUJETO_0027042,MM,-36,18,4,0.510281408149185,0.542870818355781
SUJETO_0027510,MM,-36,18,4,-0.789669961790846,0.285438232217067
SUJETO_0028207,MM,-36,18,4,-1.14165998280349,0.334248184422638
SUJETO_0030383,MM,-36,18,4,-0.343086328780787,0.525532121326614
SUJETO_0030459,MM,-36,18,4,0.850725474381688,0.584603976153799
SUJETO_0031826,MM,-36,18,4,-0.663367185775764,0.327931725070413
SUJETO_0032413,MM,-36,18,4,0.713882520644352,0.162953146063353
SUJETO_0033050,MM,-36,18,4,0.225114985924177,0.339790945152008
SUJETO_0034539,MM,-36,18,4,-0.384655280847742,0.987258729285854
SUJETO_0036567,MM,-36,18,4,-2.05531556437714,0.55078001780156
SUJETO_0040017,MM,-36,18,4,0.840341185078476,0.154009252611902
SUJETO_0040081,MM,-36,18,4,0.152152232731683,0.373969748314242
SUJETO_0048205,MM,-36,18,4,0.107070659550678,0.489979460421267
SUJETO_0048533,MM,-36,18,4,0.00289721918678043,0.310577123784197
SUJETO_0050473,MM,-36,18,4,0.497337764317189,0.458523026832107
SUJETO_0051018,MM,-36,18,4,-0.929727038011105,0.617635258236792
SUJETO_0053568,MM,-36,18,4,-2.28244168951054,0.63572541282944
SUJETO_0058378,MM,-36,18,4,-0.316105246534477,0.386149894223805
SUJETO_005868,MM,-36,18,4,0.972411553554162,0.368858078932548
SUJETO_0065422,MM,-36,18,4,-0.248362966427448,0.173531155641289
SUJETO_0066360,MM,-36,18,4,-0.57096937426714,0.481826355823879
SUJETO_0068071,MM,-36,18,4,0.406153212969351,0.510025367907672
SUJETO_0068784,MM,-36,18,4,-3.63907974175733,1.27098121947391
SUJETO_0071765,MM,-36,18,4,-0.488725575195117,0.422758243897216
SUJETO_0073050,MM,-36,18,4,-1.14569753348225,0.382947506664644
SUJETO_0073105,MM,-36,18,4,-0.58191146378904,0.298006681802318
SUJETO_0073942,MM,-36,18,4,1.16209646969131,0.384213972982009
SUJETO_0074431,MM,-36,18,4,-0.0671056495095142,0.428458256974461
SUJETO_02DE544A,MM,-36,18,4,-0.324129239025742,0.664762759943977
SUJETO_06DA9741,MM,-36,18,4,0.0193008620649426,0.288980917550019
SUJETO_07280530,MM,-36,18,4,0.58630727466685,0.356837751512684
SUJETO_077F2B56,MM,-36,18,4,0.71597365128121,0.30174804018027
SUJETO_0BF947EC,MM,-36,18,4,0.15861162789768,0.447921065312663
SUJETO_11124BAD,MM,-36,18,4,0.429560226585829,0.486983988365946
SUJETO_151573D2,MM,-36,18,4,0.657969349750666,0.6001481696131
SUJETO_18C10E9C,MM,-36,18,4,0.243527184626219,0.701525254486355
SUJETO_1BB5AD4B,MM,-36,18,4,0.00868982637319902,0.529286699015079
SUJETO_1D9A94B2,MM,-36,18,4,-2.33419275946087,0.565401818675336
SUJETO_2158631B,MM,-36,18,4,1.37027339501814,0.73295432972045
SUJETO_225A39E1,MM,-36,18,4,-0.385446929344625,0.432189163040396
SUJETO_2608C5D2,MM,-36,18,4,-0.597469857771589,0.683539296178184
SUJETO_2736348D,MM,-36,18,4,-0.477798084323906,0.526851913332526
SUJETO_282108E8,MM,-36,18,4,-0.619262721351903,0.552596923994707
SUJETO_2A9AAA08,MM,-36,18,4,-2.17061052117685,0.955385385995555
SUJETO_2C6C72AD,MM,-36,18,4,0.39438727475477,0.208541075753306
SUJETO_2CD1C0E6,MM,-36,18,4,0.277975925065652,0.594526421919484
SUJETO_32E036E7,MM,-36,18,4,-1.21587212820246,0.537556367659794
SUJETO_33DCFF34,MM,-36,18,4,-0.153001382363716,0.396563744886721
SUJETO_39B35DCB,MM,-36,18,4,0.431384822109131,0.41105567477549
SUJETO_3E78614C,MM,-36,18,4,1.62610928864792,0.903558813860954
SUJETO_4517150C,MM,-36,18,4,-1.10752724923871,0.393893852013757
SUJETO_4541440B,MM,-36,18,4,-0.441011906648525,0.308413819416795
SUJETO_46315DBC,MM,-36,18,4,-0.700259995994845,0.637756277027799
SUJETO_4CA6CEF4,MM,-36,18,4,-1.48626279770726,0.787282934961764
SUJETO_4E042FB0,MM,-36,18,4,-0.834407874731102,0.325115299745307
SUJETO_5061298E,MM,-36,18,4,0.701966794433467,0.308887429371992
SUJETO_529B55B0,MM,-36,18,4,1.35379129712178,0.72772109956762
SUJETO_52C54AB9,MM,-36,18,4,0.343960490190622,0.551763289252223
SUJETO_587BBCBB,MM,-36,18,4,-1.57443173331293,1.02054021109913
SUJETO_5FC6B519,MM,-36,18,4,-0.584107654771269,0.395669776057983
SUJETO_61B0C637,MM,-36,18,4,-1.47557176337248,0.627206004109389
SUJETO_63C82DC6,MM,-36,18,4,1.15545491949476,0.436024414045209
SUJETO_6462FBBC,MM,-36,18,4,-0.59269928392211,0.616383404969798
SUJETO_649D6CD3,MM,-36,18,4,-0.276587596708777,0.38910077688398
SUJETO_66362819,MM,-36,18,4,-0.399681322878659,0.748000995807952
SUJETO_665D6EAB,MM,-36,18,4,-2.48835671580199,1.70405141241763
SUJETO_685CAE59,MM,-36,18,4,1.55852826677188,0.63990023006144
SUJETO_6FCE57C3,MM,-36,18,4,0.704401636665518,0.174400943142687
SUJETO_725769F0,MM,-36,18,4,-0.704690717442921,0.497634472096635
SUJETO_72B8E12C,MM,-36,18,4,-0.745002322049454,0.372915238878522
SUJETO_74A044C9,MM,-36,18,4,1.20220433371236,0.350913407096286
SUJETO_774F4A36,MM,-36,18,4,0.300395253142624,0.701404373203016
SUJETO_7B0E6648,MM,-36,18,4,-0.105464362172466,0.367393640906543
SUJETO_7E1D6F1A,MM,-36,18,4,-0.187795521597369,0.571596270482585
SUJETO_80570E8A,MM,-36,18,4,1.09493050761897,0.278632140608537
SUJETO_80F4D7DA,MM,-36,18,4,-0.712760675736148,0.65470445806861
SUJETO_85DB03A2,MM,-36,18,4,0.93407786524657,0.27414039787296
SUJETO_8E872371,MM,-36,18,4,-0.452218656663341,0.372144541489379
SUJETO_96083B42,MM,-36,18,4,0.0137907469438182,0.509361021421371
SUJETO_9AE17E76,MM,-36,18,4,1.68717521549475,0.312781019825943
SUJETO_9D0BD287,MM,-36,18,4,0.0316225102528779,0.401138962335068
SUJETO_A90BAD1A,MM,-36,18,4,-1.10812870631314,0.592232475626518
SUJETO_ACAFF5CE,MM,-36,18,4,-0.97866852957793,0.679622722719223
SUJETO_B7FBB303,MM,-36,18,4,7.51128094605725,2.39166993298696
SUJETO_C28223BA,MM,-36,18,4,0.94377027361682,0.491933430250416
SUJETO_C36569E9,MM,-36,18,4,0.777766686384425,0.541464817192554
SUJETO_C3D9E000,MM,-36,18,4,-0.0785745341669429,0.489639378120299
SUJETO_C730BC55,MM,-36,18,4,-0.531493393422076,0.345537632794215
SUJETO_C9AC0C57,MM,-36,18,4,-0.4427381470997,0.395122300510609
SUJETO_CFEB32C5,MM,-36,18,4,0.079997591646106,0.201528310696806
SUJETO_D04E11ED,MM,-36,18,4,0.16091237303735,0.423625681300516
SUJETO_D72D8A7C,MM,-36,18,4,0.118855718786668,0.291639101560681
SUJETO_DABE6ACB,MM,-36,18,4,-1.08928613274386,0.58365774589131
SUJETO_DCC3C5A9,MM,-36,18,4,0.223945160067142,0.560307868035983
SUJETO_DCCC88FD,MM,-36,18,4,-1.69252555659323,0.54574433931493
SUJETO_E1314C94,MM,-36,18,4,0.944667544780356,0.330189073145368
SUJETO_E29AEEC5,MM,-36,18,4,-0.471294762547871,0.640876689801336
SUJETO_E844AFE8,MM,-36,18,4,-0.208298266235024,1.06244699954174
SUJETO_E9306FB7,MM,-36,18,4,-0.571042439665156,0.466893281804196
SUJETO_E97CF70E,MM,-36,18,4,0.31621038669137,0.509200754061235
SUJETO_E9EC652D,MM,-36,18,4,-0.250757622579583,0.366022451068856
SUJETO_EAFB7359,MM,-36,18,4,-0.419648741795258,0.310676999086353
SUJETO_EFE9883F,MM,-36,18,4,0.00098961306444247,0.371747116736948
SUJETO_FDDFFE87,MM,-36,18,4,0.434668332789883,0.974937396549903
