participant,contrast,center_x,center_y,center_z,mean_intensity,std_intensity
SUJETO_EAFB7359,BB,-14,8,10,1.80701564568462,0.739341155494784
SUJETO_EFE9883F,BB,-14,8,10,-0.399498134851456,0.217661078577372
SUJETO_FDDFFE87,BB,-14,8,10,-0.351782513236759,0.547839629914849
SUJETO_0000621,BM,-14,8,10,0.292188320647586,0.532150844139781
SUJETO_0005719,BM,-14,8,10,0.638389323621687,0.563870809779131
SUJETO_0006562,BM,-14,8,10,1.68284829096361,0.528843294619416
SUJETO_0012643,BM,-14,8,10,0.943884123455394,0.248723481745293
SUJETO_0014011,BM,-14,8,10,1.93666447774328,0.336014165388913
SUJETO_0014895,BM,-14,8,10,1.65133898772977,0.816988597152842
SUJETO_0016883,BM,-14,8,10,1.3936914058421,0.595636442331949
SUJETO_0020285,BM,-14,8,10,1.50114328632451,0.434162252934961
SUJETO_0020703,BM,-14,8,10,2.1785838591932,0.728660139663455
SUJETO_0020974,BM,-14,8,10,0.451170278430888,0.985064941903061
SUJETO_0025948,BM,-14,8,10,0.355811279022483,0.543856648984064
SUJETO_0026622,BM,-14,8,10,-1.42681192328232,0.296458924172026
SUJETO_0027033,BM,-14,8,10,1.92416318137236,0.422416088767898
SUJETO_0027042,BM,-14,8,10,1.22889523614537,0.424514857048723
SUJETO_0027510,BM,-14,8,10,0.654327520630275,0.417205823125919
SUJETO_0028207,BM,-14,8,10,1.93085963497258,0.702622199588121
SUJETO_0030383,BM,-14,8,10,0.450917781829232,0.468016830407507
SUJETO_0030459,BM,-14,8,10,-0.297464700039439,0.516204322720515
SUJETO_0031826,BM,-14,8,10,2.51880925713163,1.18645987079272
SUJETO_0032413,BM,-14,8,10,1.07383836783243,0.557345325928311
SUJETO_0033050,BM,-14,8,10,-0.292280195055134,0.328445354850322
SUJETO_0034539,BM,-14,8,10,0.639207537587017,0.508002108243021
SUJETO_0036567,BM,-14,8,10,-0.719432462533616,0.356440264591736
SUJETO_0040017,BM,-14,8,10,2.40002264699551,0.660320502079931
SUJETO_0040081,BM,-14,8,10,0.397329803894867,0.382104579830987
SUJETO_0048205,BM,-14,8,10,1.97710814266795,1.04716746461822
SUJETO_0048533,BM,-14,8,10,0.326055407994474,0.745180388420562
SUJETO_0050473,BM,-14,8,10,0.641716012806453,0.622091366436211
SUJETO_0051018,BM,-14,8,10,0.366316293319217,0.65457135757649
SUJETO_0053568,BM,-14,8,10,0.0687049673211695,0.42083473268533
SUJETO_0058378,BM,-14,8,10,1.7372147814192,0.811133181145704
SUJETO_005868,BM,-14,8,10,-0.14765105637336,0.61350086960248
SUJETO_0065422,BM,-14,8,10,-0.255650759072542,0.478492185489422
SUJETO_0066360,BM,-14,8,10,1.01173403460269,0.56623506537869
SUJETO_0068071,BM,-14,8,10,1.11675785814948,0.703567954425058
SUJETO_0068784,BM,-14,8,10,-0.908250410297904,0.455053670500908
SUJETO_0071765,BM,-14,8,10,-1.13388934596018,0.797146293593601
SUJETO_0073050,BM,-14,8,10,-0.233583201136854,0.314038038451051
SUJETO_0073105,BM,-14,8,10,0.116038444517839,0.542462739906057
SUJETO_0073942,BM,-14,8,10,3.68367319998115,1.35476081515403
SUJETO_0074431,BM,-14,8,10,0.346237659491975,0.302186365293459
SUJETO_02DE544A,BM,-14,8,10,1.1835296304539,0.255182427739057
SUJETO_06DA9741,BM,-14,8,10,1.83800649642944,0.289772445331261
SUJETO_07280530,BM,-14,8,10,2.66583071092162,0.651065770872175
SUJETO_077F2B56,BM,-14,8,10,0.60662148542928,0.743900652118554
SUJETO_0BF947EC,BM,-14,8,10,1.50596167252521,0.533147144335328
SUJETO_11124BAD,BM,-14,8,10,-0.142984655394097,0.482440302125366
SUJETO_151573D2,BM,-14,8,10,0.413150813599879,0.396456756487911
SUJETO_18C10E9C,BM,-14,8,10,0.118756683373993,1.06040511369254
SUJETO_1BB5AD4B,BM,-14,8,10,1.22917699874049,0.476373598276024
SUJETO_1D9A94B2,BM,-14,8,10,1.37612653787088,0.575990120574535
SUJETO_2158631B,BM,-14,8,10,1.44225280573874,0.339025552536503
SUJETO_225A39E1,BM,-14,8,10,0.298317249807896,0.386023481615114
SUJETO_2608C5D2,BM,-14,8,10,3.4770409795973,0.794034498932763
SUJETO_2736348D,BM,-14,8,10,0.987307162447409,0.353909411185936
SUJETO_282108E8,BM,-14,8,10,0.608342564561301,0.343376926126389
SUJETO_2A9AAA08,BM,-14,8,10,1.2750866273324,0.721521195663466
SUJETO_2C6C72AD,BM,-14,8,10,-0.0266843516793516,0.634945277503345
SUJETO_2CD1C0E6,BM,-14,8,10,3.40835846072496,0.96812421723035
SUJETO_32E036E7,BM,-14,8,10,0.832866679237346,0.186335244426631
SUJETO_33DCFF34,BM,-14,8,10,0.757540343536271,0.946965176175146
SUJETO_39B35DCB,BM,-14,8,10,-0.0883639448444651,0.363938016863919
SUJETO_3E78614C,BM,-14,8,10,1.16104410799465,0.84159386465013
SUJETO_4517150C,BM,-14,8,10,-1.18774773014916,0.195274686010408
SUJETO_4541440B,BM,-14,8,10,-0.894016744023321,0.609279405394192
SUJETO_46315DBC,BM,-14,8,10,3.48502007758979,0.651239271009141
SUJETO_4CA6CEF4,BM,-14,8,10,-0.421560893079849,0.62688658609462
SUJETO_4E042FB0,BM,-14,8,10,1.08961145459401,0.616315025841299
SUJETO_5061298E,BM,-14,8,10,1.4173883483604,0.716722846421031
SUJETO_529B55B0,BM,-14,8,10,1.18086420880123,0.451446737896724
SUJETO_52C54AB9,BM,-14,8,10,2.9013267671219,1.00072210318257
SUJETO_587BBCBB,BM,-14,8,10,0.372403956159498,0.346882419007027
SUJETO_5FC6B519,BM,-14,8,10,0.539819658216503,0.477495672271636
SUJETO_61B0C637,BM,-14,8,10,1.01227807351435,0.54387843330734
SUJETO_63C82DC6,BM,-14,8,10,0.803206817068235,0.195793179351167
SUJETO_6462FBBC,BM,-14,8,10,0.67188105828157,0.450360547481968
SUJETO_649D6CD3,BM,-14,8,10,0.978704272195546,0.235769898988358
SUJETO_66362819,BM,-14,8,10,1.91440130845465,1.26602565647755
